rn,video_id,owner_id,manual_category,manual_category_l2,total_vv
154,77W8P6ANF1JAEDE02,1556334539228823,汽车/摩托车,汽车知识,2875334
155,74LWg3f021JDwJpDP,1545190181489830,生活,奇闻猎奇,2861986
156,73AvOKigI1JvuWu1X,1541019541361828,生活,生活随拍,2859881
157,7hu2rP6ZU1JBWiR1w,1589954437875694,搞笑,生活趣事,2856852
158,79Enl8vov1JCQAgjN,1562368663359003,搞笑,生活趣事,2855826
159,77AZWDSsR1Jxkqn3F,1555133600453149,亲子,亲子互动,2853319
160,7hsrYa2w61JCpShrP,1589864218555742,工业/机械/施工,机械/修理,2845763
161,7dPoT2SVm1JxMV629,1577081341563996,生活,新奇好玩,2842649
162,79kWXeDXI1JDTTUAe,1561265286260114,搞笑,生活趣事,2840810
163,79kWXeDXI1JDTTUAe,1561265286260114,新时代,正能量小剧场,2840810
164,7cPyn6zp71JDTtry9,1573568416321633,搞笑,剧情段子,2840453
165,7bcFh7pOg1JuunOxs,1567837917000904,情感,婚礼现场/花絮,2818880
166,6Xw8vKkMt1JDBTNny,1519641300986381,新时代,威武军警,2815961
167,7bKdTefru1JC23gXA,1569744036420676,新闻资讯,社会民生,2815591
168,7dqTtaUQz1JCofWJn,1575689353521467,搞笑,剧情段子,2796188
169,7cwVYq7x01JCNWiqm,1572510834284522,美食,美食教学,2794091
170,7csbNx2Dk1JCo7IEd,1572241330341686,搞笑,逗比,2790880
171,6ZTGHMiE21JCRjr0O,1528022261917994,搞笑,剧情段子,2785115
172,77Ws7deWn1JCpiliA,1556352213310947,搞笑,逗比,2778438
173,7gTejfBW61JBp7JlG,1587863696081502,明星名人,娱乐明星,2777930
174,79mhuvEQS1JE9kwij,1561340900826422,搞笑,生活趣事,2744200
175,72mTQGh3d1JAXGE6t,1536724739240091,长尾才艺,绝技,2740227
176,76OCRDilA1JACNlAG,1552386044069466,搞笑,逗比,2733126
177,7gNxnCyu61JAYX24c,1587540365765426,三农,农业生产养殖,2728993
178,76JXqodpT1JwEKL6A,1552120879126073,搞笑,生活趣事,2726744
179,79mhuvEQS1JDbGBT6,1561340900826422,生活,纪实现场拍摄,2719238
180,70le3aotl1JC3JACn,1529586416707547,情感,两性情感小剧场,2712260
181,7gNuyP5fU1JzcHE6U,1587537782892534,旅行风景,特色项目体验,2710330
182,72uoPrTBW1JDr2Ygn,1537150722803940,新时代,公益/互助/环保,2693294
183,7eixejZAF1JCGH416,1578736191838845,三农,农家生活,2691781
184,6YilqYyFx1JwVM6dl,1522379551529527,亲子,搞笑儿童,2667119
185,7hdyyGhza1JDxRVoE,1589018251451416,生活,生活随拍,2664160
186,747xaA3Sv1JBo0DHy,1542895187909727,新闻资讯,社会民生,2652669
187,7esYRBokf1JADz35C,1579329510204911,亲子,搞笑儿童,2651858
188,7gEwF6Hi91JAD6xr1,1587028505893745,搞笑,生活趣事,2646598
189,74aqiE3CI1JC1ebh7,1543059294849676,搞笑,恶搞整蛊,2638320
190,79hHg9eKX1JzuqY9x,1561080506889903,汽车/摩托车,摩托车,2633735
191,7dxmVEQb11JDoH92s,1576057143656395,情感,亲情,2623711
192,6YqFEZwMt1Jzt8r8a,1522852483170613,新闻资讯,社会民生,2617551
193,7133ESoUf1JzVfJNv,1532076106824623,工业/机械/施工,工厂加工制作,2615356
194,7fZysWpXu1JCTwKX5,1584701348734524,科技,智能产品/黑科技,2612148
195,7cHxEBprJ1JDLBr7S,1573113356851731,搞笑,逗比,2610934
196,7dvziWOnk1JBDQjck,1575954880917918,三农,农家生活,2590282
197,7auy6Ngl81JDKdfPc,1565332141139062,知识,健康养生,2590055
198,77wIn5NaG1JvDcAnG,1554890299957410,情感,两性情感小剧场,2577887
199,7hu2rP6ZU1JBJhrPQ,1589954437875694,新闻资讯,社会民生,2577465
200,77aczZ6Ze1JCiB3CP,1553611569024180,长尾才艺,特效炫技,2567275
201,76yX74I8F1JCwrdd5,1551495791135801,新闻资讯,时政外交,2562030
202,7hsrYa2w61JD4QJyt,1589864218555742,三农,农家生活,2560526
203,7cnSjd6P61JCv72j3,1571996274835008,新闻资讯,社会民生,2560185
204,7eaLRkxna1JCMvQX2,1578295192220784,情感,婚礼现场/花絮,2557666
205,70fWKDPDV1JDPgigi,1529286567537055,搞笑,生活趣事,2551583
